_id,name,building,wkt_geom
370,office1,ismb,"Polygon ((7.65849699875971002 45.06483178751094698, 7.65845629799319827 45.06484553062690424, 7.65848907003896073 45.06488760570501739, 7.65854404250281906 45.06486815391011191, 7.65849699875971002 45.06483178751094698))"
371,office2,ismb,"Polygon ((7.65858772975415558 45.06479957047566387, 7.65861849319066135 45.06484127554681862, 7.65866220687105503 45.06482747957271329, 7.65863128486013611 45.0647846644806549, 7.65858772975415558 45.06479957047566387))"
372,research_lab1,ismb,"Polygon ((7.65861320737683293 45.06493721306793532, 7.65862399043705455 45.06495233049549398, 7.6586731485056978 45.06493520445867773, 7.65866236544547885 45.06491945273345578, 7.65861320737683293 45.06493721306793532))"
373,maintenance1,ismb,"Polygon ((7.65870710985959313 45.0648787519670293, 7.6587307903055617 45.06491025541746609, 7.65879585867384272 45.06488715641101095, 7.65877302395808446 45.0648553886698906, 7.65870710985959313 45.0648787519670293))"
374,research_lab2,ismb,"Polygon ((7.65862795479743408 45.06497775526004546, 7.65864502797611824 45.06498121746813723, 7.65866696410352521 45.06500896799076372, 7.65870866917466042 45.0649943527155088, 7.65869122598901342 45.06497056655324229, 7.65866136114085627 45.0649810324646225, 7.6586479880318592 45.06496739506494009, 7.65863334632754356 45.06496612646961353, 7.65862795479743408 45.06497775526004546))"
375,research_lab3,ismb,"Polygon ((7.65862568189748316 45.06495418053034996, 7.65863339918568276 45.06496469929988535, 7.65864872804579733 45.06496596789520481, 7.65866183686410285 45.06497960529488722, 7.65869756896560983 45.06496723649052427, 7.65867457567543397 45.06493626162146171, 7.65862568189748316 45.06495418053034996))"
376,research_lab4,ismb,"Polygon ((7.65853059010662651 45.06494376747708941, 7.6585700222778188 45.06499673133170347, 7.65862636905327232 45.06497770240189737, 7.65863197201593504 45.06496480501614599, 7.65861167449081659 45.06493837594698704, 7.65860205430964314 45.06494123028645049, 7.6585898969378281 45.06492315280313932, 7.65853059010662651 45.06494376747708941))"
377,research_lab5,ismb,"Polygon ((7.65857137016037282 45.06499836993403107, 7.65866741339771195 45.0651288766775906, 7.65873422608455545 45.06510530194787378, 7.65864383866801823 45.06498256535068236, 7.65862787551024393 45.06497907671354852, 7.65857137016037282 45.06499836993403107))"
378,research_lab6,ismb,"Polygon ((7.65866796840815134 45.0650119544755654, 7.65871477428964553 45.0650745385113396, 7.65876340377690301 45.0650575181908053, 7.65871762862910987 45.06499477558061528, 7.65866796840815134 45.0650119544755654))"
379,research_lab7,ismb,"Polygon ((7.65876393235829145 45.06505836392103248, 7.65871551430358455 45.06507511995087611, 7.65873708042401979 45.06510487908273888, 7.65878666135777131 45.06508796447849363, 7.65876393235829145 45.06505836392103248))"
380,research_lab8,ismb,"Polygon ((7.65877603687197883 45.06512041937552482, 7.65881182183162679 45.06516978887671598, 7.65883930806355639 45.06516022155368262, 7.65880172592720498 45.06511005918041235, 7.65877603687197883 45.06512041937552482))"
381,research_lab9,ismb,"Polygon ((7.65912175552574759 45.06569319016280417, 7.65913285573479641 45.06570978761823909, 7.65911615256308576 45.06572670222250565, 7.65910621523308155 45.06573008514337886, 7.65914829031118938 45.06578865196063788, 7.65923571767198208 45.06575799424041406, 7.65922229170484758 45.0657436696849274, 7.65923212331857606 45.0657389124524741, 7.65919512262174873 45.06568848578853448, 7.65918835678004317 45.06569144584427988, 7.65917530081987596 45.06567463695629527, 7.65912175552574759 45.06569319016280417))"
382,ext_office1,ismb,"Polygon ((7.65931949782124377 45.06573399664565471, 7.65915008748790793 45.06579240488852633, 7.65921774590496707 45.06588654523287829, 7.65938594050111998 45.06582766126677342, 7.65931949782124377 45.06573399664565471))"
383,research_lab10,ismb,"Polygon ((7.65885923558171822 45.06518945210428484, 7.65877423969529048 45.06521775763735604, 7.65879683654942411 45.06524775463086741, 7.65877955193819382 45.0652540976074647, 7.65879181502628548 45.06527006076524344, 7.65889483553788519 45.06523559725904704, 7.65889166404958566 45.06523158004053897, 7.65888267816607016 45.06523454009629148, 7.65887622947319446 45.06522565992905527, 7.65888616680319956 45.06522206557564658, 7.65885923558171822 45.06518945210428484))"
384,mainteinance2,ismb,"Polygon ((7.65890334569816211 45.06529490409030103, 7.65895763100622595 45.06536856190606954, 7.65898490580560232 45.06536052746903209, 7.6589308847882327 45.0652854689126201, 7.65890334569816211 45.06529490409030103))"
