,Unnamed: 0,id,latitude,longitude,time,speedInternet,device2ApSpeed,gps_accuracy,grid_cell,RSSI,allrooms_id,ap_MAC,distance,phone_mac,satellite_in_view,pseudorange,qr_id,lat_stated,lon_stated,SSID,ip
0,0,253,45.0653,7.65912,2018-03-01 15:07:25.000000,13.34,48,18.324,1,-61,480,00:1a:30:b8:02:b0,1.56719,30:7:4d:79:e8:6,3,"sat:GPS17 pdr:360.7452157463822 Cn0:21.87324333190918 
sat:GPS19 pdr:54.05345534998702 Cn0:17.295909881591797 
sat:GPS32 pdr:-541.6969868032654 Cn0:19.433156967163086 
",,45.06529989,7.659389835,polito,172.20.90.1
1,1,257,45.0653,7.659089999999999,2018-03-01 15:09:05.000000,16.88,54,17.855999999999995,3,-57,476,00:1a:30:b8:02:b0,3.93661,d8:6c:2:f2:13:11,0,,,45.06536873,7.659146027999999,polito,172.20.90.1
2,2,260,45.0653,7.65905,2018-03-01 15:09:27.000000,14.82,54,17.928,6,-64,476,00:1a:30:b8:02:b0,17.5842,d8:6c:2:f2:13:11,0,,,45.06535928,7.659173984,polito,172.20.90.1
3,3,266,45.0654,7.65907,2018-03-01 15:10:11.000000,10.41,36,18.006,8,-78,476,00:1a:30:b8:02:b0,27.8691,d8:6c:2:f2:13:11,0,,,45.06539420000001,7.659197447,polito,172.20.90.1
4,4,268,45.0654,7.65907,2018-03-01 15:10:35.000000,7.63,54,18.028,7,-70,476,00:1a:30:b8:02:b0,39.3661,d8:6c:2:f2:13:11,0,,,45.06537674,7.659185716,polito,172.20.90.1
5,5,305,45.0648,7.656619999999998,2018-03-01 15:19:38.000000,20.41,54,18.452,1,-63,510,00:1d:a1:91:04:40,13.8243,10:7b:44:89:6a:6d,0,,,45.06473328,7.656496562,polito,172.20.82.1
6,6,103,45.0657,7.659039999999999,2018-02-15 15:14:19.000000,54.2,130,20.0,4,-54,665,00:35:1a:79:5f:70,4.37164,30:7:4d:79:e8:6,1,"sat:GAL2 pdr:-380.9289828290166 Cn0:15.261194229125977 
",,45.06576925,7.658943299,polito,172.21.48.1
7,7,483,45.0656,7.65888,2018-03-14 17:24:23.000000,35.87,72,18.799,1,-70,663,00:35:1a:79:5f:70,30.9488,10:7b:44:89:6a:6d,0,,,45.06561003,7.658829751,polito,172.21.48.1
8,8,537,45.0657,7.65903,2018-03-15 11:51:22.000000,34.17,72,18.285,8,-55,665,00:35:1a:79:5f:70,4.37164,10:7b:44:89:6a:6d,0,,,45.06572314,7.658950377999999,polito,172.21.48.1
9,9,538,45.0657,7.65903,2018-03-15 11:51:46.000000,31.72,72,18.134,7,-54,665,00:35:1a:79:5f:70,4.90506,10:7b:44:89:6a:6d,0,,,45.06573362,7.658919356,polito,172.21.48.1
10,10,539,45.0657,7.65902,2018-03-15 11:52:08.000000,39.82,72,18.129,7,-47,665,00:35:1a:79:5f:70,4.90506,10:7b:44:89:6a:6d,0,,,45.06573362,7.658919356,polito,172.21.48.1
11,11,105,45.0654,7.65883,2018-02-15 15:14:56.000000,20.52,135,39.65,8,-46,665,00:35:1a:79:5f:7f,0.818786,d8:6c:2:f2:13:11,0,,,45.06572314,7.658950377999999,polito,172.21.48.1
12,12,106,45.0655,7.65885,2018-02-15 15:15:22.000000,50.73,135,36.359,5,-47,665,00:35:1a:79:5f:7f,1.03079,d8:6c:2:f2:13:11,0,,,45.06575876,7.658974321,polito,172.21.48.1
13,13,107,45.0653,7.66033,2018-02-15 15:15:30.000000,183.49,702,800.0,4,-49,665,00:35:1a:79:5f:7f,0.5796560000000001,ac:5f:3e:3:93:55,0,,,45.06576925,7.658943299,polito,172.21.48.1
14,14,108,45.0654,7.65883,2018-02-15 15:18:41.000000,64.46,135,40.67,4,-50,665,00:35:1a:79:5f:7f,1.03079,d8:6c:2:f2:13:11,0,,,45.06576925,7.658943299,polito,172.21.48.1
15,15,109,45.0657,7.65903,2018-02-15 15:21:39.000000,100.76,866,17.847,4,-51,665,00:35:1a:79:5f:7f,0.5796560000000001,ac:5f:3e:3:93:55,0,,,45.06576925,7.658943299,polito,172.21.48.1
16,16,110,45.0657,7.65903,2018-02-15 15:29:27.000000,67.51,780,18.028,1,-52,665,00:35:1a:79:5f:7f,3.65738,30:7:4d:79:e8:6,0,,,45.06580487,7.658967242,polito,172.21.48.1
17,17,111,45.0655,7.65884,2018-02-15 15:30:11.000000,58.48,135,37.18,1,-43,665,00:35:1a:79:5f:7f,1.29769,d8:6c:2:f2:13:11,0,,,45.06580487,7.658967242,polito,172.21.48.1
18,18,156,45.0657,7.65905,2018-02-23 14:42:34.000000,60.06,135,17.72,6,-49,665,00:35:1a:79:5f:7f,1.63369,d8:6c:2:f2:13:11,0,,,45.0657441,7.6588883339999985,polito,172.21.48.1
19,19,66,45.0657,7.65902,2018-02-13 10:47:57.000000,22.49,144,17.962,6,-64,631,00:35:1a:79:67:40,15.3537,30:7:4d:79:e8:6,0,,,45.06517853,7.658486336,polito,172.21.48.1
20,20,484,45.0656,7.65888,2018-03-14 17:24:46.000000,39.27,72,18.799,2,-59,663,00:35:1a:79:67:40,7.695060000000002,10:7b:44:89:6a:6d,0,,,45.06561821,7.658805532000001,polito,172.21.48.1
21,21,485,45.0656,7.6588699999999985,2018-03-14 17:25:11.000000,36.22,72,17.557000000000002,3,-59,663,00:35:1a:79:67:40,8.634,10:7b:44:89:6a:6d,0,,,45.06562958,7.65887261,polito,172.21.48.1
