,id,latitude,longitude,time,speedInternet,device2ApSpeed,gps_accuracy,grid_cell,RSSI,allrooms_id,ap_MAC,distance,phone_mac,satellite_in_view,pseudorange,qr_id,lat_stated,lon_stated,SSID,ip
0,733,45.0652,7.6580699999999995,19/3/18 11.14,46.06,433,18.067999999999998,0,-80,696,00:35:1a:a2:3d:9e,51.6619,10:a5:d0:8a:47:ce,0,,24.0,45.06501351,7.658011027000001,polito,172.21.48.1
1,732,45.0652,7.65808,19/3/18 11.14,22.13,28,39.6,0,-74,696,e4:aa:5d:be:15:21,49.0506,10:7b:44:89:6a:6d,0,,24.0,45.06501351,7.658011027000001,polito,172.21.48.1
2,731,45.0652,7.65808,19/3/18 11.14,59.13,585,18.006,0,-72,696,e4:aa:5d:be:15:2e,3.86489,30:7:4d:79:e8:6,0,,24.0,45.06501351,7.658011027000001,polito,172.21.54.1
3,730,45.0654,7.66047,19/3/18 11.14,28.65,520,6.0,0,-66,696,00:35:1a:a2:3d:9e,4.604369999999999,30:7:4d:79:e8:6,0,,23.0,45.06514243,7.6580607999999994,polito,172.21.48.1
4,729,45.0652,7.65808,19/3/18 11.14,34.47,292,17.898,0,-59,696,00:35:1a:a2:3d:9e,5.7965599999999995,10:a5:d0:8a:47:ce,0,,23.0,45.06514243,7.6580607999999994,polito,172.21.48.1
5,728,45.0652,7.65808,19/3/18 11.14,22.43,57,18.069000000000003,0,-68,696,00:35:1a:a2:3d:91,24.3339,10:7b:44:89:6a:6d,0,,23.0,45.06514243,7.6580607999999994,polito,172.21.46.1
6,727,45.0654,7.66047,19/3/18 11.13,57.72,585,6.0,0,-67,696,00:35:1a:a2:3d:9e,4.604369999999999,30:7:4d:79:e8:6,0,,23.0,45.06514243,7.6580607999999994,polito,172.21.48.1
7,726,45.0654,7.66047,19/3/18 11.13,27.29,585,6.0,0,-62,696,00:35:1a:a2:3d:9e,-1.0,30:7:4d:79:e8:6,0,,22.0,45.065258299999996,7.657983692,polito,172.21.48.1
8,725,45.0652,7.65809,19/3/18 11.13,19.08,72,18.025,0,-67,696,00:35:1a:79:69:a1,19.7298,10:a5:d0:8a:47:ce,0,,22.0,45.065258299999996,7.657983692,polito,172.21.46.1
9,724,45.0654,7.65821,19/3/18 11.13,14.89,72,17.906,0,-66,696,00:35:1a:79:69:a1,7.85458,10:7b:44:89:6a:6d,0,,22.0,45.065258299999996,7.657983692,polito,172.21.46.1
