id,latitude,longitude,allrooms_id,gps_accuracy
2,1231310,13123,370,123123
3,45.0516,7.67973,654,18.364
5,45.0516,7.67971,654,19.176
6,45.0516,7.67971,654,19.176
7,45.0503,7.67999,567,106.19
8,45.0721,7.63474,654,8
9,0,0,654,0
10,45.0644,7.65925,654,20.187
11,45.0643,7.65917,654,21.163
12,45.0643,7.65917,654,21.163
13,45.0643,7.65917,654,21.163
14,45.0643,7.65917,654,21.163
15,45.0644,7.65917,654,21.235
16,45.0643,7.65911,654,22.16
17,45.0643,7.65911,654,22.16
18,45.0643,7.65911,654,22.16
19,45.0643,7.65909,654,24.516
20,45.0644,7.65928,654,19.619
21,45.0643,7.65913,654,19.838
22,45.0643,7.65913,654,19.838
23,45.0644,7.65923,654,23.994
24,45.0644,7.65923,654,23.994
25,45.0646,7.65925,654,10677.3
26,45.0646,7.65925,654,10677.3
27,45.0646,7.65925,654,10677.3
28,45.0644,7.65926,654,19.97
29,45.0478,7.64567,655,18.335
30,45.0478,7.64567,655,18.335
42,45.0507,7.67843,654,17.805
43,45.0507,7.67843,654,17.805
45,45.0648,7.64528,567,6
46,45.0648,7.64528,567,6
47,45.0648,7.64528,567,6
54,45.0651,7.65858,657,17.595
55,45.0651,7.65859,657,20
56,45.0651,7.65859,657,20
57,45.0651,7.65859,657,20
58,45.0651,7.65859,657,20
59,45.0651,7.65859,657,20
60,45.0651,7.65859,657,20
61,45.0651,7.65857,657,17.165
62,45.0651,7.65859,657,20
63,45.0651,7.65858,657,18.222
64,45.0651,7.65858,657,18.222
65,45.0653,7.65876,657,18.118
66,45.0657,7.65902,657,17.962
67,45.0657,7.65906,657,18.828
68,45.0657,7.65905,657,18.657
69,45.0657,7.65905,657,18.657
70,45.0659,7.65883,657,19.058
71,45.0655,7.65835,657,19.152
72,45.0655,7.65835,657,19.152
73,45.0721,7.63416,696,18.14
74,45.0721,7.63416,696,18.14
75,45.0721,7.63416,696,18.14
76,45.0721,7.63416,696,18.14
