2i,0,"(45.065107581055784, 7.658435702596933)"
2i,1,"(45.065098655134285, 7.658462116777169)"
2i,2,"(45.065089729206555, 7.658488530949291)"
2i,3,"(45.06508309336141, 7.658419246426325)"
2i,4,"(45.065074167443576, 7.658445660597664)"
2i,5,"(45.06506524151953, 7.658472074760889)"
2i,6,"(45.06505860566473, 7.658402790269582)"
2i,7,"(45.065049679750565, 7.658429204432025)"
2i,8,"(45.06504075383016, 7.658455618586355)"
4i,0,"(45.065252165288186, 7.658535819534033)"
4i,1,"(45.06524281435884, 7.658563491410351)"
4i,2,"(45.06523346342268, 7.658591163277763)"
4i,3,"(45.06521534836819, 7.658511077768918)"
4i,4,"(45.06520599744463, 7.658538749631223)"
4i,5,"(45.065196646514245, 7.658566421484624)"
4i,6,"(45.06517853144298, 7.658486336035147)"
4i,7,"(45.0651691805252, 7.65851400788344)"
4i,8,"(45.06515982960059, 7.658541679722829)"
6i,0,"(45.06538560402954, 7.658634837854877)"
6i,1,"(45.065377209147265, 7.658659680518638)"
6i,2,"(45.0653688142595, 7.658684523175223)"
6i,3,"(45.06535499232374, 7.658614266014079)"
6i,4,"(45.06534659744579, 7.658639108667381)"
6i,5,"(45.06533820256232, 7.658663951313506)"
6i,6,"(45.06532438061432, 7.65859369419495)"
6i,7,"(45.06531598574069, 7.658618536837793)"
6i,8,"(45.06530759086155, 7.6586433794734585)"
8i,0,"(45.065565520659526, 7.658762742825678)"
8i,1,"(45.06555732190768, 7.658787005069601)"
8i,2,"(45.065549123150596, 7.65881126730668)"
8i,3,"(45.06553406619475, 7.658741604479635)"
8i,4,"(45.065525867447235, 7.658765866713063)"
8i,5,"(45.06551766869446, 7.658790128939645)"
8i,6,"(45.06550261172614, 7.658720466156473)"
8i,7,"(45.065494412982964, 7.658744728379404)"
8i,8,"(45.06548621423453, 7.65876899059549)"
10i,0,"(45.06567368969582, 7.6588428139845535)"
10i,1,"(45.06566550563704, 7.658867032734308)"
10i,2,"(45.065657321573035, 7.6588912514772405)"
10i,3,"(45.06564595150313, 7.658824173002232)"
10i,4,"(45.06563776744816, 7.658848391742746)"
10i,5,"(45.06562958338795, 7.658872610476439)"
10i,6,"(45.065618213307474, 7.658805532037702)"
10i,7,"(45.065610029256305, 7.658829750768977)"
10i,8,"(45.06560184519991, 7.65885396949343)"
12i,0,"(45.06581535789827, 7.65893621934803)"
12i,1,"(45.06580487476067, 7.658967241651987)"
12i,2,"(45.06579439161449, 7.658998263944753)"
12i,3,"(45.06577973058058, 7.6589122764881505)"
12i,4,"(45.06576924744924, 7.658943298776906)"
12i,5,"(45.06575876430932, 7.658974321054471)"
12i,6,"(45.06574410325797, 7.6588883336576234)"
12i,7,"(45.06573362013292, 7.658919355931178)"
12i,8,"(45.06572313699927, 7.658950378193541)"
11i,0,"(45.06593946448122, 7.658573032793388)"
11i,1,"(45.06592859734325, 7.65860519189741)"
11i,2,"(45.06591773019607, 7.6586373509894035)"
11i,3,"(45.06590858457784, 7.658552280564097)"
11i,4,"(45.0658977174455, 7.658584439654459)"
11i,5,"(45.065886850303954, 7.658616598732795)"
11i,6,"(45.065877704670775, 7.658531528356857)"
11i,7,"(45.06586683754408, 7.658563687433562)"
11i,8,"(45.065855970408144, 7.658595846498239)"
9i,0,"(45.06580777219366, 7.658457469231145)"
9i,1,"(45.065796402149175, 7.6584911166270215)"
9i,2,"(45.06578503209461, 7.658524764009734)"
9i,3,"(45.06578366748414, 7.658441270230579)"
9i,4,"(45.06577229744426, 7.658474917615301)"
9i,5,"(45.065760927394294, 7.658508564986858)"
9i,6,"(45.06575956277238, 7.65842507124345)"
9i,7,"(45.06574819273709, 7.658458718617017)"
9i,8,"(45.065736822691726, 7.658492365977418)"
7i,0,"(45.06569830584422, 7.658376363924992)"
7i,1,"(45.06568570116779, 7.658413664988487)"
7i,2,"(45.06567309647895, 7.658450966035803)"
7i,3,"(45.065672562114365, 7.658359063536679)"
7i,4,"(45.06565995744337, 7.6583963645869675)"
7i,5,"(45.06564735275997, 7.658433665621075)"
7i,6,"(45.06564681838194, 7.658341763163693)"
7i,7,"(45.065634213716386, 7.658379064200773)"
7i,8,"(45.06562160903844, 7.658416365221674)"
5i,0,"(45.06551646915685, 7.658250881003664)"
5i,1,"(45.065503803304566, 7.658288363129451)"
5i,2,"(45.06549113743975, 7.658325845238901)"
5i,3,"(45.06549118328886, 7.658233888429097)"
5i,4,"(45.06547851744195, 7.658271370541848)"
